Date,vfinx,veurx,veiex,vbltx,vbisx,vpacx,UI_pct_chg,CRU_oil_chg,EUI_pct_chg,EURUSD_chg,GBPUSD_chg,ADVER_chg,Nasdaq_chg,USD/JYP_chg
8/6/14,0.000338282,-0.004267846,-0.001081509,-0.000731546,0,-0.000846786,-0.0012,-0.0047,-0.0001,0.0004,-0.0019,-0.0128,-0.0008,-0.0047
8/7/14,-0.005298179,-0.009561452,-0.009743705,0.00658858,0.000950473,-0.005932258,0.0012,0.0043,-0.0012,-0.0014,-0.0012,-0.0074,-0.0031,0
8/8/14,0.011502713,0.004660412,0.007653027,-0.002181792,-0.000949571,0.000852561,-0.002,0.0032,0.0037,0.0036,-0.0036,0.0159,0.0043,-0.0005
8/11/14,0.002969016,0.004970181,0.011211554,0,0.000950473,0.003407161,0.001,0.0044,-0.002,-0.0019,0.0008,0.0091,0.0081,0.0013
8/12/14,-0.001619711,-0.000989141,0.000357666,-0.004373204,-0.000949571,0.001697796,0.0004,-0.0072,-0.0012,-0.0011,0.0015,-0.0041,-0.0004,0.0007
8/13/14,0.006993005,0.003960411,0.00643547,0.004392412,0.000950473,0.008474504,0.0012,0.0023,0.0006,-0.0004,-0.0074,0.0026,0.0108,0.0017
8/14/14,0.004388851,0.004930968,0.00213144,0.005830886,0,0.003361351,-0.0001,-0.0206,-0.0001,0,-0.0001,0.0035,0.0056,0.0001
8/15/14,5.54E-05,-0.00065425,0.001772447,0.007971049,0.000949668,0,-0.0022,0.0185,0.0018,0.0026,0.0006,-0.0008,0.0043,-0.0008
8/18/14,0.008573027,0.007201325,0.005307858,-0.006470242,-0.000948767,0.00335009,0.002,-0.0097,-0.0015,-0.0027,0.0019,0.0047,0.0071,0.0021
8/19/14,0.005209745,0.002274957,0.005983799,-0.002894347,0,0.003338991,0.0038,-0.02,-0.0015,-0.0032,-0.0066,0.0025,0.0052,0.0033
8/20/14,0.002509503,-0.004863815,0.000699815,-0.001451336,-0.000949571,-0.001663897,0.0041,0.0168,-0.0024,-0.0045,-0.0013,0.0014,0.0013,0.0082
